person,0.99875807762146,59320
person,0.9987072944641113,22427
person,0.9978639483451843,35386
person,0.9941434264183044,30737
person,0.9917004704475403,24716
person,0.9901828169822693,17547
person,0.9841439723968506,21859
person,0.9815744757652283,28221
person,0.981438934803009,17677
person,0.9742384552955627,9630
person,0.955390989780426,18428
person,0.9334404468536377,9975
handbag,0.9123030304908752,2021
person,0.8810170292854309,7618
tie,0.7479455471038818,763
person,0.7352016568183899,8391
person,0.6466205716133118,2899
