person,0.998670220375061,47949
person,0.9953054189682007,35557
person,0.9920448064804077,9923
horse,0.977410614490509,17420
person,0.9558404684066772,5818
person,0.9415240287780762,12773
person,0.9413623809814453,6162
horse,0.9338566064834595,45497
horse,0.9269285798072815,9566
person,0.9254277348518372,1951
person,0.9060810208320618,8667
person,0.9044833183288574,5441
person,0.8652164340019226,5600
person,0.859621524810791,7620
boat,0.8553909659385681,95489
person,0.7931866645812988,2796
person,0.771160900592804,1943
person,0.7584798336029053,1927
person,0.7427202463150024,3019
person,0.7395734786987305,5896
person,0.6676631569862366,5890
person,0.6530906558036804,1054
cow,0.6461597681045532,9912
person,0.6245265603065491,4446
person,0.6135090589523315,5118
truck,0.5340520143508911,9940
cow,0.5282010436058044,10141
