id,category,conf,size
1a33783v,truck,0.9005950689315796,21547
1a33783v,person,0.867868959903717,806
1a33787v,boat,0.564972460269928,461
1a33789v,person,0.5911544561386108,167
1a33789v,person,0.5175632834434509,318
1a33790v,airplane,0.9898300766944885,127348
1a33790v,person,0.8409930467605591,3278
1a33790v,airplane,0.6808217763900757,16581
1a33796v,person,0.9407985806465149,416
1a33796v,person,0.5215843319892883,181
1a33797v,person,0.9615841507911682,1307
1a33797v,bench,0.9444714188575745,1880
1a33798v,person,0.7588568925857544,486
1a33798v,boat,0.5152773857116699,3825
1a33798v,bench,0.514529824256897,882
1a33799v,person,0.9980555772781372,18451
1a33801v,bird,0.6251249313354492,2735
1a33802v,car,0.7139543294906616,2472
1a33803v,horse,0.9943162798881531,4084
1a33804v,cow,0.6571149230003357,371
1a33807v,elephant,0.6121324300765991,154
1a33807v,sheep,0.5533937811851501,81
1a33807v,sheep,0.5108181834220886,3535
1a33810v,person,0.9970937967300415,21641
1a33813v,stop sign,0.5335870981216431,16442
1a33813v,airplane,0.5020322203636169,597
1a33819v,person,0.8031495809555054,241
1a33819v,truck,0.8030980229377747,2614
1a33819v,horse,0.7691448926925659,1936
1a33820v,car,0.904769241809845,2102
1a33820v,car,0.6816938519477844,336
1a33821v,cow,0.6821119785308838,113
1a33821v,truck,0.5804237723350525,631
1a33822v,horse,0.991025447845459,2596
1a33822v,person,0.8776853680610657,450
1a33822v,horse,0.728352427482605,2534
1a33822v,horse,0.6088923215866089,755
1a33823v,giraffe,0.5857024788856506,1345
1a33823v,giraffe,0.5143174529075623,2292
1a33824v,horse,0.7424247860908508,582
1a33824v,horse,0.730957567691803,496
1a33826v,clock,0.5388084053993225,49836
1a33827v,person,0.9918696880340576,2753
1a33829v,bench,0.5450130701065063,10029
1a33830v,person,0.6288325786590576,70
1a33830v,person,0.6042335033416748,53
1a33830v,person,0.5785611271858215,40
1a33831v,person,0.9932767152786255,1920
1a33831v,person,0.9925351142883301,2265
1a33831v,person,0.9078889489173889,704
1a33831v,person,0.8177163004875183,839
1a33831v,person,0.6573567390441895,671
1a33831v,person,0.6108129620552063,372
1a33832v,car,0.8576014637947083,9053
1a33832v,car,0.7986713647842407,10013
1a33832v,truck,0.557747483253479,10350
1a33833v,person,0.99817955493927,39388
1a33833v,person,0.9958940744400024,11805
1a33833v,person,0.9957025647163391,42744
1a33833v,person,0.9890405535697937,6189
1a33833v,person,0.9889274835586548,2844
1a33833v,person,0.9869654178619385,9971
1a33833v,person,0.9676700830459595,2372
1a33833v,person,0.9413756728172302,6239
1a33833v,person,0.9255616664886475,3542
1a33833v,person,0.9034591317176819,5010
1a33833v,person,0.8611500263214111,911
1a33833v,person,0.7993824481964111,2287
1a33833v,person,0.7897768020629883,797
1a33833v,person,0.6994063854217529,1041
1a33833v,person,0.6928992867469788,1659
1a33833v,person,0.6707889437675476,4362
1a33833v,chair,0.5228028297424316,4645
1a33834v,person,0.9949901700019836,13988
1a33834v,person,0.9930481910705566,8393
1a33834v,person,0.9921653270721436,11503
1a33834v,person,0.990747332572937,12480
1a33834v,person,0.9830080270767212,16349
1a33834v,person,0.9737926125526428,4198
1a33834v,person,0.9632909297943115,3667
1a33834v,person,0.9478511810302734,3362
1a33834v,person,0.947472095489502,6010
1a33834v,person,0.9352279901504517,4657
1a33834v,person,0.9323822855949402,7448
1a33834v,person,0.8760586977005005,8581
1a33834v,person,0.8037083745002747,6303
1a33834v,person,0.7975934147834778,2178
1a33834v,person,0.7905476093292236,1751
1a33834v,person,0.7749124765396118,3830
1a33834v,person,0.7427679896354675,45252
1a33834v,person,0.7321097254753113,4821
1a33835v,person,0.9973012804985046,10455
1a33835v,person,0.9940087795257568,29125
1a33835v,person,0.9896500110626221,13372
1a33835v,person,0.9872963428497314,13033
1a33835v,person,0.9829948544502258,9922
1a33835v,person,0.982955813407898,9574
1a33835v,person,0.9826799631118774,48223
1a33835v,person,0.9715138077735901,12897
1a33835v,person,0.9505131244659424,11296
1a33835v,person,0.9255088567733765,15878
1a33835v,person,0.9237158298492432,2842
1a33835v,person,0.9066734313964844,9606
1a33835v,person,0.8324654698371887,10299
1a33835v,person,0.8063784837722778,6574
1a33835v,person,0.7954309582710266,5999
1a33835v,person,0.7680076956748962,7806
1a33835v,handbag,0.6890539526939392,2338
1a33835v,person,0.6862826347351074,3512
1a33835v,person,0.6724934577941895,2421
1a33835v,person,0.6275259852409363,5241
1a33835v,person,0.5086748003959656,3204
1a33835v,handbag,0.5075453519821167,2548
1a33836v,sheep,0.9502174258232117,907
1a33836v,horse,0.9396312832832336,966
1a33836v,sheep,0.93091583251953125,781
1a33836v,sheep,0.9044656753540039,494
1a33836v,horse,0.8768645524978638,1660
1a33836v,person,0.8418670892715454,914
1a33836v,sheep,0.8250710368156433,1168
1a33836v,sheep,0.7764835953712463,242
1a33836v,cow,0.6890009641647339,511
1a33836v,cow,0.5640529990196228,1248
1a33841v,person,0.9983181953430176,16041
1a33841v,person,0.9965568780899048,13342
1a33841v,person,0.9684039950370789,1594
1a33841v,cow,0.6849341988563538,1808
1a33841v,person,0.5088130235671997,994
1a33843v,sheep,0.9423421025276184,199
1a33843v,sheep,0.916348934173584,219
1a33843v,sheep,0.9031437635421753,157
1a33843v,sheep,0.8807613253593445,215
1a33843v,sheep,0.8015205264091492,293
1a33843v,sheep,0.7890359163284302,150
1a33843v,sheep,0.733245313167572,117
