id,category,n
1a33782v,dirt,0.08680832763077859
1a33782v,grass,0.012488594890510948
1a33782v,sand,0.5682928451946472
1a33782v,sky,0.30822308394160586
1a33782v,tree,0.019341164841849147
1a33782v,unknown,0.004845983500608273
1a33783v,dirt,0.5070164784663865
1a33783v,sand,0.05932763730492197
1a33783v,sky,0.38154285151560624
1a33783v,things,0.014071644282713085
1a33783v,tree,0.03093112244897959
1a33783v,unknown,0.007110265981392557
1a33784v,grass,0.009473013093788063
1a33784v,sand,0.4192902614951279
1a33784v,sky,0.49119904270706455
1a33784v,tree,0.026942895478075518
1a33784v,unknown,0.05309478722594397
1a33785v,grass,0.07171468296004843
1a33785v,gravel,0.25080513203692495
1a33785v,sky,0.2773319272094431
1a33785v,tree,0.015347164421912833
1a33785v,unknown,0.3848010933716707
1a33786v,dirt,0.5705031343562874
1a33786v,grass,0.08497848053892215
1a33786v,railroad,0.005043038922155688
1a33786v,road,0.00941593375748503
1a33786v,sky,0.25463954902694613
1a33786v,tree,0.012961966691616766
1a33786v,unknown,0.06245789670658683
1a33787v,sand,0.6412880836068019
1a33787v,sea,0.008374198239856802
1a33787v,sky,0.3473322829653938
1a33787v,things,3.37951223150358e-4
1a33787v,unknown,0.002667483964797136
1a33788v,bridge,0.00925275404676259
1a33788v,building,0.1494480197092326
1a33788v,dirt,0.03623702600419664
1a33788v,grass,0.08602297849220623
1a33788v,mountain,0.03843019334532374
1a33788v,pavement,0.01149978454736211
1a33788v,rock,0.02433795151378897
1a33788v,sky,0.6206324003297362
1a33788v,unknown,0.006634536121103118
1a33788v,wall,0.011047802383093525
1a33788v,water,0.006456553507194244
1a33789v,grass,0.015073847397713598
1a33789v,gravel,0.03303742666967509
1a33789v,person,2.890907039711191e-4
1a33789v,sky,0.22991759739771359
1a33789v,tree,0.06350476647111913
1a33789v,unknown,0.6581772713598074
1a33790v,grass,0.3064002990722656
1a33790v,person,0.0024197896321614585
1a33790v,sky,0.5653470357259115
1a33790v,things,0.0930620829264323
1a33790v,unknown,0.032770792643229164
1a33795v,dirt,0.008302785140218878
1a33795v,mountain,0.5687347704343365
1a33795v,sky,0.19539265560875513
1a33795v,tree,0.22536818142954856
1a33795v,unknown,0.002201607387140903
1a33796v,dirt,0.21569688585069444
1a33796v,fence,0.010112847222222223
1a33796v,grass,0.026188151041666666
1a33796v,mountain,0.3043294270833333
1a33796v,person,4.1097005208333334e-4
1a33796v,sky,0.3705390082465278
1a33796v,tree,0.04627956814236111
1a33796v,unknown,0.019158257378472224
1a33796v,wall,0.007284884982638889
1a33797v,dirt,0.03471862033195021
1a33797v,fence,0.056986406466113415
1a33797v,grass,0.1446055389868603
1a33797v,mountain,0.3567600276625173
1a33797v,person,8.32036652835408e-4
1a33797v,sky,0.28861946749654216
1a33797v,things,0.00169919173582296
1a33797v,tree,0.11387150976832641
1a33797v,unknown,0.0019072008990318118
1a33798v,dirt,0.09564385775862069
1a33798v,fence,0.19738820043103447
1a33798v,grass,0.2370824353448276
1a33798v,mountain,0.15485317887931035
1a33798v,person,3.030711206896552e-4
1a33798v,sky,0.2678838900862069
1a33798v,things,0.0036610991379310343
1a33798v,tree,0.0381640625
1a33798v,unknown,0.005020204741379311
1a33799v,grass,0.051108628298858774
1a33799v,mountain,0.24317381419400855
1a33799v,person,0.011650488141940085
1a33799v,sky,0.23478039185092725
1a33799v,snow,0.01244873395149786
1a33799v,tree,0.4331145238944365
1a33799v,unknown,0.007669010788159771
1a33799v,water,0.006054408880171184
1a33800v,grass,0.14982004915730338
1a33800v,mountain,0.6359780986657303
1a33800v,sky,0.2142018521769663
1a33801v,grass,0.008328419811320755
1a33801v,mountain,0.16518646816037735
1a33801v,road,0.16130259223382748
1a33801v,sky,0.1320899490397574
1a33801v,things,0.0015082757749326145
1a33801v,tree,0.520694701819407
1a33801v,unknown,0.010889593160377358
1a33802v,mountain,0.6444959852430555
1a33802v,sky,0.2617662217881944
1a33802v,things,0.0021647135416666668
1a33802v,tree,0.06841227213541666
1a33802v,unknown,0.015601942274305556
1a33802v,wall,0.007558865017361111
1a33803v,grass,0.28485793022260275
1a33803v,mountain,0.25135247217465756
1a33803v,sky,0.3997485017123288
1a33803v,things,0.0032146297089041096
1a33803v,tree,0.05145681720890411
1a33803v,unknown,0.00936964897260274
1a33804v,grass,0.6218943431911967
1a33804v,mountain,0.07022787353851444
1a33804v,sky,0.2689711034215956
1a33804v,things,3.2238651994497935e-4
1a33804v,tree,0.038456681997936726
1a33804v,unknown,1.2761133081155433e-4
1a33805v,grass,0.09195896006224066
1a33805v,mountain,0.46979139652489627
1a33805v,sky,0.24120958679114798
1a33805v,tree,0.184331237033195
1a33805v,unknown,0.0064577390214384505
1a33805v,wall,0.006251080567081605
1a33806v,mountain,0.40636919209431344
1a33806v,river,0.06929801274271845
1a33806v,road,0.051008798543689324
1a33806v,rock,0.010226139909847434
1a33806v,sky,0.23727353502080445
1a33806v,tree,0.17003700372746186
1a33806v,unknown,0.0041893312239944525
1a33806v,water,0.051597986737170594
1a33807v,grass,0.38561876085069446
1a33807v,mountain,0.09813774956597222
1a33807v,sky,0.45901014539930557
1a33807v,things,0.0040595160590277775
1a33807v,tree,0.05097249348958333
1a33807v,unknown,0.002201334635416667
1a33808v,grass,0.34923586361265646
1a33808v,mountain,0.35530168854311545
1a33808v,sky,0.28051520123435325
1a33808v,tree,0.011004324582753825
1a33808v,unknown,0.003942922027121001
1a33809v,dirt,0.00798233695652174
1a33809v,mountain,0.4574425738790761
1a33809v,sea,0.03214164402173913
1a33809v,sky,0.48687876825747284
1a33809v,unknown,5.838145380434783e-5
1a33809v,wall,0.01549629543138587
1a33810v,dirt,0.008009431111878454
1a33810v,grass,0.016294026243093923
1a33810v,mountain,0.30857351735151933
1a33810v,person,0.012840987569060774
1a33810v,sky,0.2758060687154696
1a33810v,tree,0.3724628258805249
1a33810v,unknown,0.0060131431284530384
1a33811v,dirt,0.00859750085733882
1a33811v,mountain,0.5805228695130316
1a33811v,pavement,0.04686160408093278
1a33811v,road,0.008751553926611796
1a33811v,rock,0.034392682613168725
1a33811v,sky,0.30155687371399176
1a33811v,unknown,0.0019424082647462276
1a33811v,wall,0.017374507030178326
1a33812v,mountain,0.7479194972826086
1a33812v,sky,0.24745244565217392
1a33812v,unknown,0.004628057065217391
1a33813v,grass,0.18140733506944445
1a33813v,mountain,0.18934190538194445
1a33813v,road,0.23776312934027777
1a33813v,sky,0.18195393880208333
1a33813v,things,0.016866048177083332
1a33813v,tree,0.18918321397569443
1a33813v,unknown,0.003484429253472222
1a33814v,grass,0.049694976595006934
1a33814v,mountain,0.24451039138349515
1a33814v,sky,0.2764443914701803
1a33814v,tree,0.42510537664701803
1a33814v,unknown,0.004244863904299584
1a33815v,mountain,0.6014828081777317
1a33815v,sky,0.1865761151452282
1a33815v,tree,0.21194107667704012
1a33816v,mountain,0.867345751817867
1a33816v,sky,0.1129809773199446
1a33816v,unknown,0.019673270862188365
1a33817v,dirt,0.11982803770949721
1a33817v,grass,0.009863826815642457
1a33817v,mountain,0.4720656751920391
1a33817v,sky,0.3832857781948324
1a33817v,tree,0.007762035178072626
1a33817v,unknown,0.007194646909916201
1a33818v,grass,0.013523383989726027
1a33818v,mountain,0.19467171446917808
1a33818v,road,0.009999732448630137
1a33818v,sky,0.2542527290239726
1a33818v,tree,0.512351508989726
1a33818v,unknown,0.0015156785102739725
1a33818v,wall,0.007185092037671233
1a33818v,water,0.006500160530821918
1a33819v,dirt,0.26623670789930554
1a33819v,grass,0.01200900607638889
1a33819v,mountain,0.2834404839409722
1a33819v,person,2.1565755208333333e-4
1a33819v,sky,0.40105251736111114
1a33819v,things,0.004071723090277778
1a33819v,tree,0.025189887152777778
1a33819v,unknown,0.007784016927083333
1a33820v,mountain,0.6636192185350757
1a33820v,sky,0.26682320323246217
1a33820v,things,0.002365511090096286
1a33820v,tree,0.05980538600412655
1a33820v,unknown,0.00738668113823934
1a33821v,dirt,0.10589859869325997
1a33821v,fence,0.11884913385488308
1a33821v,grass,0.22524340182255845
1a33821v,mountain,0.16034565208046767
1a33821v,sky,0.3816304160935351
1a33821v,things,5.641764099037139e-4
1a33821v,unknown,0.007468621045392022
1a33822v,dirt,0.07584095133125865
1a33822v,grass,0.1714630338001383
1a33822v,mountain,0.38909464687067774
1a33822v,person,3.4308004840940523e-4
1a33822v,sky,0.3097594117392808
1a33822v,things,0.0036455631915629323
1a33822v,tree,0.030724574256569846
1a33822v,unknown,0.019128738762102353
1a33823v,grass,0.6760294149210165
1a33823v,mountain,0.02185595166552198
1a33823v,sky,0.22291648780906592
1a33823v,things,0.002566159426510989
1a33823v,tree,0.06292255108173077
1a33823v,unknown,0.013709435096153846
1a33824v,grass,0.3654541015625
1a33824v,mountain,0.18226725260416668
1a33824v,sky,0.30343017578125
1a33824v,things,8.1787109375e-4
1a33824v,tree,0.14685601128472223
1a33824v,unknown,0.001174587673611111
1a33825v,building,0.013542643673260572
1a33825v,dirt,0.03790075034106412
1a33825v,grass,0.42499920063096863
1a33825v,house,0.00789643374829468
1a33825v,mountain,0.1072193681787176
1a33825v,road,0.021654907060027286
1a33825v,sand,0.010932703785811732
1a33825v,tree,0.3621927758356071
1a33825v,unknown,0.013661216746248294
1a33826v,building,0.3228964060338866
1a33826v,fence,0.1476581409923928
1a33826v,grass,0.009954724239280774
1a33826v,house,0.05267899593706777
1a33826v,pavement,0.09772243473374827
1a33826v,sky,0.2918935857538036
1a33826v,things,0.03141208506224066
1a33826v,tree,0.019034189142461962
1a33826v,unknown,0.006253781984785616
1a33826v,wall,0.02049565612033195
1a33827v,fence,0.03106900501383126
1a33827v,grass,0.016735282676348547
1a33827v,house,0.04759357710926694
1a33827v,pavement,0.0492427926175657
1a33827v,person,0.002204356846473029
1a33827v,road,0.1377898621196404
1a33827v,sky,0.039308329011065006
1a33827v,tree,0.67576098936722
1a33827v,unknown,2.958052385892116e-4
1a33828v,fence,0.33234775363573404
1a33828v,house,0.028636816135734072
1a33828v,sky,0.5493502207409973
1a33828v,tree,0.06870698796745152
1a33828v,unknown,0.001067185335872576
1a33828v,wall,0.019891036184210526
1a33829v,building,0.4321450477789256
1a33829v,fence,0.0637698002754821
1a33829v,house,0.18078646909435261
1a33829v,sky,0.2543380358987603
1a33829v,things,0.009729306559917356
1a33829v,tree,0.027242865444214875
1a33829v,unknown,0.0013384017734159779
1a33829v,wall,0.02456471676997245
1a33829v,window,0.006085356404958678
1a33830v,building,0.028081896551724137
